faiss_id,spotify_id,track_name,artist
255,61MVGPvLVwL8ieMvVb1ZBx,Tread On The Cross,['Vorkreist']
256,11mG4CsokEyNKoNTuOgc81,末法時代,['ZolarWind']
257,3prTysXfLFchq0ylUdZQn0,當天風雨 - 劇集 “她她她的少女時代” 片尾曲,['何家豪']
258,0sTInoLPZ265TKaGLuW7Dq,Ghost,['Abby Brown']
259,0EBIvidjNqNOlvg1ZjxI0j,Got Away,['Abby Brown']
260,620mElvj3n1YXv9q0z2lqd,Homeward Bound,['Abby Brown']
261,4RNL4LmYU52Cj6i4vNLqKH,Worst Dream,['Abby Brown']
262,6bGv4qURrGORmqkYPqhWQB,Squad,['Black Punk']
263,03XwzlDa2cxBMqPoYuW7QT,Love Remains,['Carrie Day']
264,1WFhSzYNMHEDJ7jtCBnNCy,Games,['Carrie Day']
265,66F54qglWEKMQMaWSyGvoc,Life Is Like This,['Carrie Day']
266,0YqiC8sBkGM5OnKPktUJOt,Let Go Of Fear,['Carrie Day']
267,6GT3Ni17YQKX8Z3jpTk5IT,You Will Be Guided,['Carrie Day']
268,7MMoy0IJwM8DzqQFGqn6Yi,Here For You,['Carrie Day']
269,1nkWWGCGB5J2ARxsTRjC1P,Soul Shine,['Carrie Day']
270,1UFiiPQOyXTSOhQc27qoEY,Love Just The Same,['Carrie Day']
271,4ro48SV0utorFhyHmQpH8Q,Time,['Carrie Day']
272,6ZEiAwrEhuRqlhN61pCS8N,Your Heart To Mine,['Carrie Day']
273,5vO550doLit9DlCfesglzt,Love Remains (Choir Version),['Carrie Day']
274,77R3FdOLmHe10THwrexsXU,Down In Malibu,['Heidi Howe']
275,1bXks4mzJPKPkr92dpdGmq,Christmas Morning,['Heidi Howe']
276,6olmi8yhPUN6NJMfLDSzk0,Broke Back,['Heidi Howe']
277,1EpwFbCOx7aEBymGFOAWNZ,I Love Britney Spears,['Heidi Howe']
278,5jDHY2vQiLmSHw9W9O0cYA,Ex'S Baggage,['Heidi Howe']
